country,iso_alpha,year,value
Iceland,ISL,2017,952
Norway,NOR,2017,5670
Switzerland,CHE,2017,74741
United Kingdom,GBR,2017,147341

Belgium,BEL,2018,48476
Bulgaria,BGR,2018,1876
Czechia,CZE,2018,37622
Denmark,DNK,2018,31021
Germany,DEU,2018,724073
Estonia,EST,2018,5227
Ireland,IRL,2018,11798
Greece,GRC,2018,4133
Spain,ESP,2018,368190
France,FRA,2018,491092
Croatia,HRV,2018,9493
Italy,ITA,2018,231163
Cyprus,CYP,2018,1896
Latvia,LVA,2018,1784
Lithuania,LTU,2018,3371
Luxembourg,LUX,2018,6287
Hungary,HUN,2018,19651
Malta,MLT,2018,1700
Netherlands,NLD,2018,63815
Austria,AUT,2018,53244
Poland,POL,2018,60614
Portugal,PRT,2018,110184
Romania,ROU,2018,4432
Slovenia,SVN,2018,10904
Slovakia,SVK,2018,8636
Finland,FIN,2018,30427
Sweden,SWE,2018,23439
Iceland,ISL,2018,1037
Norway,NOR,2018,5943
Switzerland,CHE,2018,77606
United Kingdom,GBR,2018,143280
